movie_title,release_date,imdb_rating,genre,budget,revenue,country,release_year,profit,rating_category
Scooby-Doo! Mask of the Blue Falcon,2013-01-30,7.9,"Animation, Comedy, Fantasy, Adventure, Family, Mystery",116200000.0,803890282.4,AU,2013,687690282.4,High
Confidential Assignment,2017-01-18,6.8,"Action, Drama",8520000.0,56100000.0,KR,2017,47580000.0,Medium
Amor Bandido,2021-03-18,6.7,"Thriller, Romance",65200000.0,374539590.8,AR,2021,309339590.8,Medium
Birth,2004-10-29,5.9,"Drama, Mystery, Romance",20000000.0,14603001.0,US,2004,-5396999.0,Low
The Lords of Salem,2013-04-19,5.5,"Horror, Thriller",1500000.0,1541131.0,US,2013,41131.0,Low
The New Guy,2002-05-10,5.9,Comedy,13000000.0,28972187.0,US,2002,15972187.0,Low
Viva Las Vegas,1964-04-23,6.3,"Comedy, Drama, Music, Romance",107800000.0,422211450.6,AU,1964,314411450.6,Medium
New Gods: Yang Jian,2022-08-19,6.8,"Animation, Adventure, Fantasy",39420000.0,70826303.0,CN,2022,31406303.0,Medium
Milk,2008-11-05,7.3,"History, Drama",20000000.0,57293371.0,AU,2008,37293371.0,Medium
Crayon Shin-chan: Honeymoon Hurricane ~The Lost Hiroshi~,2019-04-19,7.3,"Animation, Adventure, Family",212000000.0,587268029.2,JP,2019,375268029.20000005,Medium
The Brothers Bloom,2009-11-12,6.6,"Adventure, Comedy, Drama, Romance",20000000.0,5531756.0,AU,2009,-14468244.0,Medium
The Wanderers,1979-07-13,7.0,Drama,28690400.0,23000000.0,US,1979,-5690400.0,Medium
But I'm a Cheerleader,2000-11-16,7.0,"Comedy, Romance",1200000.0,2509344.0,AU,2000,1309344.0,Medium
Kingpin,1996-07-04,6.5,Comedy,25000000.0,32223424.0,AU,1996,7223424.0,Medium
Ali G Indahouse,2002-07-11,6.1,Comedy,7000000.0,25900000.0,AU,2002,18900000.0,Medium
Purpose of Hiking,2016-03-03,2.7,"Drama, Romance",15541000.0,38139010.0,KR,2016,22598010.0,Low
The Hidden,1987-10-30,6.9,"Horror, Science Fiction, Thriller",5000000.0,9747988.0,US,1987,4747988.0,Medium
The Mirror Has Two Faces,1996-11-15,6.7,"Comedy, Drama, Romance",42000000.0,41267469.0,US,1996,-732531.0,Medium
The Adventures of Milo and Otis,1990-03-29,6.4,"Adventure, Drama, Family",7520000.0,13299749.0,AU,1990,5779749.0,Medium
The Midnight Sky,2020-12-10,5.8,"Science Fiction, Drama",100000000.0,75615.0,AU,2020,-99924385.0,Low
House of Hummingbird,2019-08-29,7.6,Drama,5389600.0,1041948.0,KR,2019,-4347652.0,High
Born in China,2016-08-12,7.3,Documentary,53600000.0,682429959.6,CN,2016,628829959.6,Medium
Once Upon a Forest,1993-12-23,6.6,"Animation, Family, Adventure",13000000.0,6582052.0,AU,1993,-6417948.0,Medium
Miracle on 34th Street,1994-12-01,6.7,"Fantasy, Drama, Family",92200000.0,46264384.0,AU,1994,-45935616.0,Medium
First They Killed My Father,2017-09-15,7.4,"War, Drama, History",24000000.0,75320499.2,AU,2017,51320499.2,Medium
Condorito: The Movie,2017-10-12,7.0,"Adventure, Animation, Comedy",8000000.0,8431194.0,PE,2017,431194.0,Medium
Samsara,2013-08-28,8.1,Documentary,4000000.0,5966671.0,DK,2013,1966671.0,High
The Jerk,1980-06-06,6.9,Comedy,4000000.0,100000000.0,AU,1980,96000000.0,Medium
Rip Tide,2017-06-10,6.1,"Family, Drama",3400000.0,92382687.2,AU,2017,88982687.2,Medium
Mark Felt: The Man Who Brought Down the White House,2017-09-29,6.1,"Drama, History, Thriller",9146840.6,4372130.0,US,2017,-4774710.6,Medium
Battlestar Galactica,1979-05-18,6.9,"Science Fiction, Adventure",3000000.0,257720413.2,US,1979,254720413.2,Medium
The Genesis Children,1972-08-01,5.4,Drama,132600000.0,293773121.0,US,1972,161173121.0,Low
The Valet,2006-12-21,5.9,Comedy,28698700.6,29326868.0,AU,2006,628167.3999999985,Low
Doctor Dolittle,1967-12-21,6.2,"Comedy, Family, Fantasy",71500000.0,294156605.0,AU,1967,222656605.0,Medium
Alex Strangelove,2018-04-16,6.6,"Comedy, Drama",101600000.0,354385756.2,US,2018,252785756.2,Medium
The Comeback Trail,2020-11-12,5.9,"Comedy, Crime",73359000.0,311771980.0,AU,2020,238412980.0,Low
Kicks,2016-09-09,6.7,"Drama, Crime, Action",10000000.0,150191.0,US,2016,-9849809.0,Medium
Higher Learning,1995-04-13,6.3,"Romance, Drama, Crime",10420000.0,38290723.0,AU,1995,27870723.0,Medium
The Baby Swindler,2023-03-31,7.0,"TV Movie, Thriller",98140000.0,876954610.6,US,2023,778814610.6,Medium
Rescued by Ruby,2022-03-17,7.5,"Family, Drama",78800000.0,472878915.2,US,2022,394078915.2,Medium
Detective Conan: The Raven Chaser,2009-04-18,7.3,"Animation, Crime, Mystery, Thriller",69600000.0,471065724.6,JP,2009,401465724.6,Medium
The Housemaid,2021-09-10,5.3,Thriller,117800000.0,411789921.0,PH,2021,293989921.0,Low
Spontaneous,2020-12-02,6.9,"Comedy, Horror",82940000.0,520813154.0,AU,2020,437873154.0,Medium
A Day,2017-06-15,7.9,"Drama, Thriller, Mystery",39323270.6,8500000.0,KR,2017,-30823270.6,High
Cracks,2009-12-04,6.7,"Drama, Mystery, Thriller",8460004.0,101860.0,US,2009,-8358144.0,Medium
The 51st State,2001-12-07,6.1,"Thriller, Action, Comedy, Crime",27000000.0,12881605.0,GB,2001,-14118395.0,Medium
"Paris, 13th District",2022-07-29,7.0,"Drama, Romance",28690400.0,2200000.0,AU,2022,-26490400.0,Medium
Spree,2020-08-14,6.5,"Thriller, Horror, Comedy",42377129.0,43840.0,US,2020,-42333289.0,Medium
Come and Find Me,2016-11-11,5.6,"Drama, Thriller, Mystery",65200000.0,587720958.2,US,2016,522520958.20000005,Low
The Cold Light of Day,2012-05-31,5.3,"Action, Thriller, Mystery",20000000.0,25361206.0,AU,2012,5361206.0,Low
Dragon Lord,1982-01-21,6.1,"Action, Comedy",129600000.0,387495845.6,HK,1982,257895845.60000002,Medium
Bulletproof,1996-11-21,5.7,"Comedy, Crime, Action",25000000.0,22611954.0,AU,1996,-2388046.0,Low
A Return to Salem's Lot,1987-05-01,6.1,"Horror, Comedy",12000000.0,78685943.0,US,1987,66685943.0,Medium
Curious George: Royal Monkey,2019-09-10,7.6,"Animation, Adventure, Comedy, Family",119200000.0,379074781.8,US,2019,259874781.8,High
Extraterrestrial,2014-10-17,5.5,"Horror, Science Fiction",102600000.0,642447723.0,US,2014,539847723.0,Low
Mary,2019-10-11,5.2,Horror,8200000.0,709528.0,US,2019,-7490472.0,Low
Mutiny on the Bounty,1935-11-22,7.4,"Adventure, Drama, History",1950000.0,4460000.0,US,1935,2510000.0,Medium
The Wild Geese,1978-12-01,6.9,Action,11600000.0,9884149.0,AU,1978,-1715851.0,Medium
Tulip Fever,2017-11-23,6.6,"Drama, Romance",25000000.0,6792768.0,AU,2017,-18207232.0,Medium
Vamps,2012-12-05,5.3,"Comedy, Romance, Horror",16000000.0,94812.0,AU,2012,-15905188.0,Low
The Kid Detective,2021-02-10,6.6,"Comedy, Drama, Mystery",145400000.0,292764379.2,AU,2021,147364379.2,Medium
Secondhand Lions,2003-09-19,7.2,"Family, Comedy",30000000.0,47902566.0,US,2003,17902566.0,Medium
The Real Black Panther,2020-02-20,5.0,Documentary,127400000.0,812667214.2,US,2020,685267214.2,Low
The Forest of Love,2019-10-11,6.5,"Crime, Thriller",55340000.0,180307710.4,US,2019,124967710.4,Medium
Fading Gigolo,2014-05-01,5.8,Comedy,11883300.6,2681345.0,AU,2014,-9201955.6,Low
The Marine 2,2009-12-29,6.0,Action,75600000.0,439951557.8,US,2009,364351557.8,Low
Marvin's Room,1996-12-18,6.7,Drama,23000000.0,12803305.0,US,1996,-10196695.0,Medium
The Babysitter,1995-10-17,5.3,"Drama, Thriller",157000000.0,536372973.0,US,1995,379372973.0,Low
The Sin of Adam and Eve,1969-01-01,4.3,History,82300000.0,596457624.0,MX,1969,514157624.0,Low
Thomas and the Magic Railroad,2000-12-14,5.3,"Animation, Drama, Family",19000000.0,15911332.0,AU,2000,-3088668.0,Low
Christmas on Mistletoe Farm,2022-11-23,5.3,"Family, Comedy",110800000.0,780542819.2,GB,2022,669742819.2,Low
The Starling,2021-09-17,7.1,Drama,100000000.0,369861963.8,US,2021,269861963.8,Medium
Safety Last!,1923-04-01,7.9,"Comedy, Romance, Thriller",121000.0,1500000.0,US,1923,1379000.0,High
12 Angry Men,1997-08-17,7.7,"Crime, Drama, TV Movie",340000.0,379.0,US,1997,-339621.0,High
Cliff Walkers,2021-04-30,6.9,"Thriller, Crime, History, Drama",54940900.0,172919448.0,AU,2021,117978548.0,Medium
A Stork's Journey,2017-06-30,6.0,"Family, Fantasy, Adventure, Animation, Comedy",138400000.0,329618652.2,US,2017,191218652.2,Low
Escape from Sobibor,1987-04-12,7.3,"Drama, Thriller, TV Movie, War",108000000.0,425312325.8,US,1987,317312325.8,Medium
A Futile and Stupid Gesture,2018-01-24,6.5,Comedy,10000000.0,169048197.8,US,2018,159048197.8,Medium
Wish Upon a Unicorn,2020-09-15,7.0,"Adventure, Family, Fantasy",85200000.0,471856743.2,US,2020,386656743.2,Medium
The Fan,1996-08-15,5.9,"Thriller, Action",55000000.0,18582965.0,US,1996,-36417035.0,Low
